date,traffic,newsTitle,predicted_label,score
2016-11-28,"500,000+",American Eagle Outfitters logo American Eagle Outfitters Inc NYSEAEOs stock had its buy rating restated by analysts at Wunderlich in a research note issued on Monday They currently have a 2200 target price on the apparel retailers stock,fashion,0.763563871383667
2016-11-28,"200,000+",Dicks Sporting Goods is expanding its digital tools with the acquisition of GameChanger Media the company behind the mobile scorekeeping app of the same name A sporting goods company with 675 locations across the United States might not seem like,sports,0.8757503628730774
2016-11-28,"100,000+",The service DirecTV Now includes many of the channels including ESPN TBS AMC and the Disney Channel that socalled cordcutters frequently miss after they ditch cable Live television can be streamed to mobile devices tablets computers and,technology,0.8805968165397644
2016-11-28,"200,000+",PHILADELPHIA  The Eagles saw their playoff hopes take a major blow Monday night and in many ways they only have themselves to blame They couldnt overcome a shoddy Green Bay defense that had given up an average of 383 points per game during,sports,0.8628371953964233
2016-11-28,"200,000+",Asmodee Digital announced the release of Colt Express on iOS Android and PC Developed by Frima Studio the board game is the digital version of the realworld Colt Express board game created by Ludonaute In Colt Express players become train,travel,0.7304189205169678
2016-11-28,"100,000+",About a dozen hours into Final Fantasy XV after Id slain countless monsters and traveled hundreds of miles and bonded with tightknit group of friends a strange feeling swelled in my chest The four of us stood on the rocky beach of a picturesque,media and entertainment,0.6046733260154724
2016-11-28,"100,000+",The Kings Academys Niamh Schumacher left and Christian Academy of Knoxvilles Rebecca Story advanced to the Foot Locker Cross Country National Championship via their South Regional qualifier in Charlotte NC on Saturday Nov 26 2016 Photo,sports,0.9228865504264832
2016-11-28,"200,000+",Art Peck the CEO of Gap Inc has had enough of creative directors We have cycled through so many and each has been proclaimed as the next savior he told the Wall Street Journal paywall in a story about the Gaps ongoing struggle to stay relevant,art,0.8900105357170105
2016-11-28,"500,000+",Gatlinburg police had been going door to door in one neighborhood asking for voluntary evacuations But the Knoxville News Sentinel reported that as wind picked up and fallen trees sparked fires from downed lines Gatlinburg fire officials declared a,tragedy,0.367903470993042
2016-11-28,"1,000,000+",Louisa May Alcott was born on November 29 1832 making today her 184th birthday Todays Google doodle by Sophie Diao honours the writer by capturing the March sisters from Alcotts Little Women Little Women is Alcotts most famous novel loosely,literature,0.8715443015098572
2016-11-28,"200,000+",When you think of Lululemon you probably think one of two things A pair of wildly flattering yoga pants you have witnessed on the female form or the pair of unthinkably comfortable seamless shorts you wear religiously to all events where shorts are,fashion,0.7165625691413879
2016-11-28,"200,000+",Newegg is offering a 10 percent discount across its entire range of SSDs but if you want to take advantage of the deal youll have to act quick as the offer ends at midnight PST Enter the promo code EMCFFGM222 at the checkout and youll receive your,technology,0.7564519643783569
2016-11-28,"2,000,000+",A student at Ohio State University intentionally rammed a car into pedestrians on a busy campus sidewalk on Monday morning and then began slashing passersby with a butcher knife the authorities said injuring 11 students and faculty and staff members,crime,0.8726233243942261
2016-11-28,"100,000+",COLUMBUS Ohio  An attack on Ohio States campus left 11 people injured Monday morning They were stabbed hit by a car or otherwise injured before the suspect was shot dead school and hospital officials said All Ohio State football players are,tragedy,0.8404366970062256
2016-11-28,"1,000,000+",ALBUQUERQUE NM  Federal authorities charged a man on Monday with using an explosive device to damage an Old Navy store in Albuquerque where a string of overnight fires and vandalism during the busiest shopping weekend of the year damaged,crime,0.8954455852508545
2016-11-28,"200,000+",Company spokeswoman Corley Kenna told The Huffington Post that the idea  which customers reportedly took to calling a fundraiser for the earth  surfaced during an internal brainstorming meeting following the US presidential election Patagonia,environment,0.9003372192382812
2016-11-28,"200,000+",Urban Outfitters URBN is about to enter a very lowrisk buy zone following its steep fall from its postelection peak The stock ramped over 27 during a fourday rally that drove shares well into new 52week high territory After testing the 41,fashion,0.49597829580307007
2016-11-28,"500,000+",If you freaked out over the Victorias Secret Fashion Shows insane 3 million fantasy bra followed the models every workout move on Instagram and scrolled through endless photos of the models epic plane ride to Paris youre most likely dying to,media and entertainment,0.8300069570541382
2016-11-28,"100,000+",As you know Victorias Secret doesnt just sell underwear and sexy lingerie The brand also has its PINK underwear and loungewear line along with sleepwear sports bras and leggings Fellow rival Calvin Klein has also seen a resurgence thanks in,fashion,0.2587108910083771
2016-11-28,"100,000+",Zumiez logo Zumiez Inc NASDAQZUMZ is scheduled to be posting its quarterly earnings results on Thursday December 1st Zumiez has set its Q3 guidance at 021026 EPSIndividual that wish to register for the companys earnings conference call can,bussiness,0.5984032154083252
2016-11-29,"1,000,000+",A chartered plane carrying 81 people including members of a Brazilian soccer team that had made a stunning climb up the ranks at home crashed on the outskirts of Medellín Colombia killing nearly everyone onboard the authorities said early Tuesday,tragedy,0.9403232336044312
2016-11-29,"100,000+",Cheryl Cole is pregnant The English singer 33 debuted her baby bump while out with boyfriend Liam Payne on Tuesday November 29 Cole put her pregnant belly on display in a formfitting olive dress as she headed to the St James Christmas Carol,celebrity,0.9224653840065002
